,,,,,,,Parameter,,,
,test_error_rate,,,train_error_rate,,,PISD-F,,PISD,
,MPDist,PISD-F,PISD,MPDist,PISD-F,PISD,k,w,k,w
Adiac,0.358,0.34,0.338,0.341,0.315,0.315,13,6,13,4
ArrowHead,0.2,0.171,0.171,0.083,0.111,0.111,3,1,3,1
Beef,0.3,0.367,0.367,0.467,0.5,0.5,3,1,3,1
BeetleFly,0.35,0.25,0.2,0,0.2,0.05,32,9,17,50
BirdChicken,0.2,0.35,0.35,0.05,0.2,0.2,3,1,3,1
Car,0.217,0.167,0.133,0.1,0.133,0.083,8,9,25,20
CBF,0.044,0.007,0.013,0,0,0,5,9,4,18
ChlorineConcentration ,0.347,0.339,0.339,0.349,0.33,0.33,6,9,6,18
CinC_ECG_torso,0.283,0.041,0.022,0.15,0.05,0.05,35,9,35,18
Coffee,0.071,0,0,0,0,0,3,1,3,1
Computers,0.416,0.396,0.396,0.36,0.34,0.34,3,1,3,1
Cricket_X,0.356,0.254,0.221,0.303,0.205,0.169,19,9,27,18
Cricket_Y,0.344,0.221,0.223,0.328,0.233,0.213,22,10,19,14
Cricket_Z,0.364,0.233,0.205,0.331,0.223,0.182,25,9,22,40
DiatomSizeReduction,0.092,0.056,0.056,0.063,0.062,0.062,3,1,3,1
DistalPhalanxOutlineCorrect,0.243,0.245,0.243,0.319,0.279,0.279,7,8,7,4
DistalPhalanxOutlineAgeGroup,0.238,0.217,0.217,0.281,0.273,0.273,4,9,4,14
DistalPhalanxTW,0.278,0.268,0.268,0.338,0.324,0.324,7,9,7,14
Earthquakes,0.267,0.304,0.258,0.252,0.266,0.273,13,10,8,18
ECG200,0.14,0.08,0.07,0.11,0.11,0.12,6,1,6,18
ECG5000 ,0.069,0.074,0.075,0.056,0.056,0.058,4,1,4,4
ECGFiveDays,0.035,0.13,0.053,0.087,0,0.087,9,3,9,18
ElectricDevices ,0.538,0.405,0.393,0.407,0.241,0.23,8,9,9,8
FaceAll ,0.259,0.241,0.241,0.046,0.02,0.02,11,9,11,18
FaceFour,0.057,0.091,0.091,0,0.083,0.083,9,6,9,4
FacesUCR,0.113,0.046,0.045,0.09,0.04,0.035,12,9,12,12
50Words,0.305,0.207,0.196,0.307,0.238,0.207,20,9,20,16
Fish,0.097,0.114,0.109,0.171,0.143,0.12,12,10,38,18
FordA ,0.277,0.241,0.206,0.267,0.223,0.202,3,1,8,90
FordB ,0.348,0.314,0.312,0.346,0.352,0.34,17,6,17,40
Gun_Point,0.047,0.027,0.013,0,0,0,13,9,14,18
Ham,0.39,0.39,0.467,0.119,0.128,0.119,27,9,39,26
HandOutlines ,0.197,0.21,0.19,0.108,0.111,0.097,110,10,30,20
Haptics,0.633,0.604,0.604,0.516,0.471,0.471,3,1,3,1
Herring,0.406,0.438,0.438,0.281,0.422,0.344,13,7,13,22
InlineSkate ,0.671,0.596,0.509,0.57,0.6,0.47,22,9,22,100
InsectWingbeatSound ,0.496,0.424,0.432,0.514,0.464,0.505,14,1,3,1
ItalyPowerDemand,0.037,0.043,0.043,0.045,0.045,0.045,3,1,3,1
LargeKitchenAppliances ,0.357,0.485,0.485,0.256,0.368,0.368,3,1,3,1
Lighting2,0.23,0.213,0.164,0.183,0.2,0.167,15,9,21,26
Lighting7,0.342,0.425,0.274,0.329,0.329,0.257,3,1,17,50
MALLAT ,0.112,0.056,0.056,0.018,0.018,0.018,13,9,13,18
Meat,0.133,0.067,0.067,0,0,0,3,1,3,1
MedicalImages,0.326,0.257,0.271,0.31,0.252,0.249,9,9,9,14
MiddlePhalanxOutlineCorrect,0.302,0.252,0.252,0.241,0.244,0.244,3,1,3,1
MiddlePhalanxOutlineAgeGroup,0.253,0.265,0.265,0.461,0.461,0.461,7,9,7,14
MiddlePhalanxTW,0.421,0.421,0.421,0.422,0.455,0.455,4,9,4,14
MoteStrain,0.183,0.197,0.209,0.05,0.15,0.15,6,9,6,16
NonInvasiveFatalECG_Thorax1 ,0.179,0.13,0.133,0.183,0.132,0.131,10,4,10,35
NonInvasiveFatalECG_Thorax2 ,0.125,0.118,0.098,0.113,0.106,0.1,3,1,32,6
OliveOil,0.1,0.167,0.167,0.067,0.067,0.067,25,9,25,18
OSU Leaf,0.368,0.351,0.252,0.275,0.27,0.185,19,10,19,80
PhalangesOutlinesCorrect ,0.282,0.248,0.245,0.219,0.204,0.207,6,1,6,14
Phoneme ,0.853,0.778,0.73,0.846,0.743,0.706,23,10,23,50
Plane,0.449,0,0,0,0,0,9,9,9,18
ProximalPhalanxOutlineCorrect,0.148,0.203,0.203,0.16,0.175,0.175,5,9,5,14
ProximalPhalanxOutlineAgeGroup,0.205,0.21,0.21,0.205,0.223,0.223,3,1,3,1
ProximalPhalanxTW,0.285,0.263,0.263,0.249,0.298,0.298,5,9,5,14
RefrigerationDevices ,0.501,0.536,0.504,0.301,0.365,0.213,58,10,51,90
ScreenType ,0.669,0.597,0.597,0.525,0.459,0.459,3,1,3,1
ShapeletSim,0.25,0.2,0.083,0.1,0.25,0,22,9,31,30
ShapesAll ,0.212,0.152,0.122,0.217,0.16,0.128,22,10,13,100
SmallKitchenAppliances,0.485,0.456,0.451,0.488,0.435,0.389,10,8,10,22
SonyAIBORobotSurface,0.306,0.166,0.166,0.1,0.05,0.05,3,1,3,1
SonyAIBORobotSurfaceII,0.133,0.122,0.122,0.037,0.111,0.111,4,9,4,12
StarLightCurves ,0.137,0.063,0.056,0.106,0.056,0.045,13,10,13,35
Strawberry,0.051,0.052,0.052,0.051,0.068,0.068,15,9,15,18
Swedish Leaf,0.19,0.086,0.085,0.22,0.082,0.082,8,9,8,18
Symbols,0.084,0.042,0.042,0.04,0.08,0.04,7,9,7,18
Synthetic Control,0.083,0.043,0.06,0.07,0.023,0.03,6,3,6,10
ToeSegmentation1,0.101,0.211,0.136,0.075,0.45,0.2,8,9,10,40
ToeSegmentation2,0.077,0.131,0.1,0,0.111,0.056,22,9,12,35
Trace,0.06,0.01,0.01,0.03,0.02,0.01,10,9,15,18
TwoLeadECG,0.022,0.078,0.077,0.043,0.043,0.043,8,9,8,16
Two_Patterns ,0.056,0.009,0.006,0.064,0.002,0.002,10,9,12,20
uWaveGestureLibrary_X ,0.308,0.2,0.188,0.267,0.198,0.185,23,9,12,22
uWaveGestureLibrary_Y ,0.334,0.264,0.264,0.307,0.229,0.222,17,9,29,12
uWaveGestureLibrary_Z ,0.339,0.267,0.264,0.321,0.239,0.232,14,10,17,18
UWaveGestureLibraryAll ,0.051,0.026,0.029,0.055,0.026,0.021,30,9,30,26
wafer ,0.007,0.004,0.004,0.003,0,0,7,9,7,8
Wine,0.556,0.389,0.389,0,0,0,3,1,3,1
WordSynonyms,0.368,0.284,0.23,0.36,0.228,0.206,8,10,13,22
Worms,0.608,0.547,0.514,0.455,0.545,0.506,55,9,55,40
WormsTwoClass,0.343,0.359,0.354,0.247,0.338,0.325,55,9,55,18
yoga,0.205,0.144,0.137,0.19,0.123,0.093,35,9,27,40
ACSF1,0.29,0.47,0.38,0.74,0.53,0.5,46,9,46,90
BME,0.127,0.053,0.053,0.1,0.033,0.033,3,1,3,1
Chinatown,0.038,0.052,0.052,0.1,0,0,3,1,3,1
Crop,0.288,0.267,0.267,0.293,0.268,0.268,3,1,3,1
EOGHorizontalSignal,0.533,0.536,0.525,0.188,0.191,0.182,27,9,27,12
EOGVerticalSignal,0.522,0.599,0.55,0.238,0.323,0.296,3,1,27,60
EthanolLevel,0.462,0.69,0.682,0.226,0.619,,106,10,37,30
FreezerRegularTrain,0.033,0.06,0.06,0,0.33,0.33,8,18,8,18
FreezerSmallTrain,0.025,0.291,0.288,0,0.071,0.071,3,1,6,18
Fungi,0.882,0.134,0.134,1,0,,3,1,3,1
GunPointAgeSpan,0.032,0.016,0.003,0.022,0,0,3,1,8,18
GunPointMaleVersusFemale,0.022,0.003,0.003,0,0,0,3,1,3,1
GunPointOldVersusYoung,0.06,0,0,0.029,0,0,3,1,3,1
HouseTwenty,0.277,0.218,0.218,0.125,0.225,0.225,3,1,3,1
InsectEPGRegularTrain,0.052,0,0,0.016,0,0,3,1,3,1
InsectEPGSmallTrain,0.052,0,0,0.059,0,0,3,1,3,1
MixedShapesRegularTrain,0.086,0.062,0.054,0.084,0.062,0.05,63,10,63,35
MixedShapesSmallTrain,0.134,0.125,0.1,0.16,0.11,0.07,43,9,43,50
PigAirwayPressure,0.139,0.87,0.87,0.269,0.856,0.856,3,1,3,1
PigArtPressure,0,0.601,0.582,0.125,0.74,0.75,3,1,3,1
PigCVP,0.106,0.851,0.707,0.212,0.885,0.788,62,6,62,90
PowerCons,0.111,0.033,0.056,0.061,0.011,0.017,4,3,4,10
Rock,0.22,0.18,0.18,0.15,0.3,0.3,59,9,59,18
SemgHandGenderCh2,0.238,0.07,0.082,0.327,0.03,0.04,91,3,91,14
SemgHandMovementCh2,0.66,0.18,0.171,0.636,0.131,0.131,91,7,91,6
SemgHandSubjectCh2,0.596,0.098,0.107,0.584,0.08,0.084,47,1,47,10
SmoothSubspace,0.52,0.087,0.087,0.107,0.173,0.173,3,1,3,1
UMD,0.132,0.118,0.167,0.306,0.25,0.222,3,1,8,18
,,,,,,,16.59292035,6.017699115,16.25663717,20.31858407
